MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
811_20130803,1287993.0,629937.2977958731,548883.169396107,4366.630874546679,4160.1235410440895
812_20111020,1387875.0,682686.6108259029,539219.3461226695,4580.945690353959,4121.408628298658
814_20080208,1404444.0558075905,597092.8424344438,482984.3724634091,3696.05338482702,3764.476191289934
814_20090814,1393240.8553624153,590466.7821958702,479007.64318702125,3622.314247472511,3674.0439987114937
814_20110115,1395214.855440855,591574.6392598472,460834.3403467337,3572.912213947272,3398.263837224204
814_20120811,1367440.8543372154,595177.2303415256,413772.80537482863,3478.579840531305,3325.4821707820915
815_20080229,1444724.4027163982,620780.0191865634,506298.4749528288,3599.581779796514,3071.675040557984
817_20130308,1585855.263016224,626255.4387058793,473489.36018874863,3253.772475570279,2863.146647941124
818_20130308,1158230.446023941,650990.2278510389,499932.2621820322,3932.088123399282,3960.2379630166847
819_20080204,1245813.6495041847,633791.8545759976,474529.839776994,3254.827206895157,2994.496126868418
